"Company Country","Job Number","Project Name","Client PO","No of Pages","Net Price","Gross Price",Company,"Due Date","Status Vendor",Invoice,Paid
,1,"World Pay Test2",123,15,179,179,,"Jul 05,2012","Pending Sign-off",N/A,
"United Kingdom",11,"wysecall credit",123,24,325,300,Wysecall,"Jul 05,2012","Pending Sign-off",N/A,
"United Kingdom",13,"Corporation Tax 2011","Pwdr Jun11",17,300,300,"Ceramic Fuel Cells Powder","Jul 05,2012","Signed Off Complete",1000-27082012-0013,Paid
"United Kingdom",14,"Europe Corporation Tax","Europe June2011",16,300,300,"Ceramic Fuel Cells Powder","Jul 05,2012","Signed Off Complete",1001-27082012-0014,Paid
"United Kingdom",18,"Hastings Holdings Limited",086432,50,450,450,"Rawlinson & Hunter","Jul 06,2012","Pending Sign-off",901,
"United Kingdom",19,"Hastings (UK) Limited","086432 ",20,179,179,"Rawlinson & Hunter","Jul 06,2012","Pending Sign-off",901,
"United Kingdom",20,"Hastings Insurance Services Limited","086432 ",38,400,400,"Rawlinson & Hunter","Jul 06,2012","Pending Sign-off",901,
"United Kingdom",21,"Calor Gas Ltd",VMH001,42,450,450,"Calor Gas Limited","Jan 01,1970","Pending Sign-off","27,26,25,24,23,22,21,",
"United Kingdom",22,"Calor Group Ltd",VMH002,15,300,300,"Calor Gas Limited","Jan 01,1970","Pending Sign-off","27,26,25,24,23,22,21,",
"United Kingdom",23,"SHV Energy Holdings UK Ltd",VMH003,15,300,300,"Calor Gas Limited","Jan 01,1970","Pending Sign-off","27,26,25,24,23,22,21,",
"United Kingdom",24,"Liquefied Petroleum National Gas ltd",VMH004,21,350,350,"Calor Gas Limited","Jan 01,1970","Pending Sign-off","27,26,25,24,23,22,21,",
"United Kingdom",25,"Homeheat Gas Company Ltd",VMH005,20,300,300,"Calor Gas Limited","Jan 01,1970","Pending Sign-off","27,26,25,24,23,22,21,",
"United Kingdom",26,"Budget Gas Ltd",VMH006,19,300,300,"Calor Gas Limited","Jan 01,1970","Pending Sign-off","27,26,25,24,23,22,21,",
"United Kingdom",27,"SHV Gas Trading Ltd",VMH007,6,200,200,"Calor Gas Limited","Jan 01,1970","Pending Sign-off","27,26,25,24,23,22,21,",
,28,Curtis,Gavin,26,350,350,,"Jan 01,1970","Pending Sign-off","874,28,",
"United Kingdom",29,"Nido Spitalfields Ltd",97,17,179,179,"Throgmorton UK Ltd","Jan 01,1970","Submitted To Billing",N/A,Paid
"United Kingdom",30,"KX Residential Ltd ",98,17,179,179,"Throgmorton UK Ltd","Jan 01,1970","Submitted To Billing",N/A,Paid
"United Kingdom",31,"MX Residential Ltd ",99,15,179,179,"Throgmorton UK Ltd","Jan 01,1970","Submitted To Billing",N/A,Paid
"United Kingdom",32,"Nido Kings Cross Ltd ",100,16,179,179,"Throgmorton UK Ltd","Jan 01,1970","Submitted To Billing",N/A,Paid
"United Kingdom",33,"Nido Notting Hill Limited ",101,16,179,179,"Throgmorton UK Ltd","Jan 01,1970","Submitted To Billing",N/A,Paid
India,34,"PARK SOFTWARE SOLUTIONS LIMITED",PARK,4,24.7,24.7,"IRIS Resourcing","Jan 01,1970","Pending Sign-off",N/A,
India,35,"EMMAUS (LEEDS) SERVICES LIMITED",EMMAUS,1,24.7,24.7,"IRIS Resourcing","Jan 01,1970","Pending Sign-off",N/A,
,36,"PSL 31 Dec 2010",4578,37,520,520,,"Jan 01,1970","Pending Sign-off",N/A,
